Fecha;Casos registrados Ciudad de C�rdoba (acumulado);Casos registrados Provincia de C�rdoba (acumulado);Fallecidos Provincia de C�rdoba (acumulado);Nuevos casos registrados Ciudad de C�rdoba;Nuevos casos registrados Provincia de C�rdoba;Notas al pie
25/3/2020;21;49;0;;;-
26/3/2020;22;52;0;1;3;-
28/3/2020;24;56;0;2;4;-
29/3/2020;30;73;0;6;17;-
30/3/2020;30;80;0;0;7;-
31/3/2020;35;96;1;5;16;-
1/4/2020;38;102;1;3;6;-
2/4/2020;46;120;1;8;18;-
3/4/2020;55;134;1;9;14;-
4/4/2020;56;138;1;1;4;-
5/4/2020;59;143;2;3;5;-
6/4/2020;62;150;2;3;7;-
7/4/2020;65;154;2;3;4;-
8/4/2020;65;155;2;0;1;-
9/4/2020;68;160;2;3;5;-
10/4/2020;71;173;2;3;13;-
11/4/2020;71;205;2;0;32;-
12/4/2020;71;211;3;0;6;-
13/4/2020;72;215;4;1;4;-
14/4/2020;77;226;5;5;11;-
15/4/2020;77;232;6;0;6;-
16/4/2020;81;244;6;4;12;-
17/4/2020;82;250;6;1;6;-
18/4/2020;84;252;6;2;2;-
19/4/2020;85;263;7;1;11;-
20/4/2020;85;263;9;0;0;-
21/4/2020;86;264;9;1;1;-
22/4/2020;89;268;10;3;4;-
23/4/2020;91;270;10;2;2;-
24/4/2020;93;272;11;2;2;-
25/4/2020;94;273;12;1;1;-
26/4/2020;96;276;12;2;3;-
27/4/2020;96;277;13;0;1;-
28/4/2020;97;279;14;1;2;-
29/4/2020;97;279;14;0;0;-
30/4/2020;100;282;14;3;3;-
1/5/2020;112;295;14;12;13;-
2/5/2020;122;307;16;10;12;-
3/5/2020;123;308;18;1;1;-
4/5/2020;129;314;20;6;6;-
5/5/2020;130;315;21;1;1;-
6/5/2020;131;320;21;1;5;-
7/5/2020;135;324;21;4;4;-
8/5/2020;135;326;21;0;2;-
9/5/2020;141;332;21;6;6;-
10/5/2020;146;337;21;5;5;-
11/5/2020;159;351;22;13;14;-
12/5/2020;160;354;22;1;3;-
13/5/2020;169;365;23;9;11;-
14/5/2020;173;370;24;4;5;-
15/5/2020;176;373;24;3;3;-
16/5/2020;184;382;24;8;9;-
17/5/2020;203;402;26;19;20;-
18/5/2020;216;422;26;13;20;-
19/5/2020;225;431;26;9;9;-
20/5/2020;227;433;27;2;2;-
